code,slug,compound,beds,ical_url,blocked_ranges
SA-2B-01,SA-2B-01,Foukabay,2 BED,https://mohamedmaged3002-droid.github.io/soul-ical/SA-2B-01.ics,1
SA-3A-B01,SA-3A-B01,Foukabay,2 bed  Ground,https://mohamedmaged3002-droid.github.io/soul-ical/SA-3A-B01.ics,4
SA-3A-B02,SA-3A-B02,Foukabay,2 bed  Ground,https://mohamedmaged3002-droid.github.io/soul-ical/SA-3A-B02.ics,5
SA-4A-103,SA-4A-103,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/SA-4A-103.ics,3
SA-4B-102,SA-4B-102,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/SA-4B-102.ics,2
SA-4B-104,SA-4B-104,Foukabay,2 bed,https://mohamedmaged3002-droid.github.io/soul-ical/SA-4B-104.ics,4
SA-6b-G03,SA-6b-G03,Foukabay,2 bed ground,https://mohamedmaged3002-droid.github.io/soul-ical/SA-6b-G03.ics,4
SA-8A-201,SA-8A-201,Foukabay,2 bed,https://mohamedmaged3002-droid.github.io/soul-ical/SA-8A-201.ics,3
SA-8A-203,SA-8A-203,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/SA-8A-203.ics,3
SA-8B-203,SA-8B-203,Foukabay,2 bed,https://mohamedmaged3002-droid.github.io/soul-ical/SA-8B-203.ics,3
SA-9B-G01,SA-9B-G01,Foukabay,2 bed  Ground,https://mohamedmaged3002-droid.github.io/soul-ical/SA-9B-G01.ics,2
ST3-V20,ST3-V20,Foukabay,5 bed  with private pool,https://mohamedmaged3002-droid.github.io/soul-ical/ST3-V20.ics,2
ST5-49-01-01,ST5-49-01-01,Foukabay,3+1,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-49-01-01.ics,4
ST5-85-G01,ST5-85-G01,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-85-G01.ics,3
ST5-86-01-01,ST5-86-01-01,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-86-01-01.ics,1
ST5-86-01-02,ST5-86-01-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-86-01-02.ics,5
ST5-87-02-01,ST5-87-02-01,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-87-02-01.ics,5
st5-89-01-01,st5-89-01-01,Foukabay,3bed,https://mohamedmaged3002-droid.github.io/soul-ical/st5-89-01-01.ics,5
st5-89-02-02,st5-89-02-02,Foukabay,3bed,https://mohamedmaged3002-droid.github.io/soul-ical/st5-89-02-02.ics,4
ST5-93-02-02,ST5-93-02-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-93-02-02.ics,4
ST5-94-G02,ST5-94-G02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-94-G02.ics,2
ST5-CH79-01-01,ST5-CH79-01-01,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/ST5-CH79-01-01.ics,4
WST-CAB-21D,WST-CAB-21D,Hacienda west & D-bay,cabin,https://mohamedmaged3002-droid.github.io/soul-ical/WST-CAB-21D.ics,1
Wst-CAB-L138,Wst-CAB-L138,Hacienda west & D-bay,capin,https://mohamedmaged3002-droid.github.io/soul-ical/Wst-CAB-L138.ics,0
WST-GCH-154af-s,WST-GCH-154af-s,Hacienda west & D-bay,2,https://mohamedmaged3002-droid.github.io/soul-ical/WST-GCH-154af-s.ics,0
Wst-haz-3614,Wst-haz-3614,Hacienda west & D-bay,3,https://mohamedmaged3002-droid.github.io/soul-ical/Wst-haz-3614.ics,1
Wst-HAZ-3806,Wst-HAZ-3806,Hacienda west & D-bay,3 master + nany,https://mohamedmaged3002-droid.github.io/soul-ical/Wst-HAZ-3806.ics,0
Wst-hazel-3223,Wst-hazel-3223,Hacienda west & D-bay,3  + nany,https://mohamedmaged3002-droid.github.io/soul-ical/Wst-hazel-3223.ics,1
z-106,z-106,Gaia,3,https://mohamedmaged3002-droid.github.io/soul-ical/z-106.ics,2
z2202,z2202,Gaia,2 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/z2202.ics,1
Z27-4,Z27-4,Gaia,3,https://mohamedmaged3002-droid.github.io/soul-ical/Z27-4.ics,1
Z29-1,Z29-1,Gaia,3 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/Z29-1.ics,1
